Results of time measurment: 

Picture: 300x246, filter: 4, threads: 2, time: 0 [s] 9780887 [ns]
Picture: 300x246, filter: 4, threads: 4, time: 0 [s] 5437197 [ns]
Picture: 300x246, filter: 4, threads: 8, time: 0 [s] 5916216 [ns]
Picture: 300x246, filter: 8, threads: 1, time: 0 [s] 49398610 [ns]
Picture: 300x246, filter: 8, threads: 2, time: 0 [s] 48546328 [ns]
Picture: 300x246, filter: 8, threads: 4, time: 0 [s] 25572259 [ns]
Picture: 300x246, filter: 8, threads: 8, time: 0 [s] 26581671 [ns]
Picture: 300x246, filter: 16, threads: 1, time: 0 [s] 232341242 [ns]
Picture: 300x246, filter: 16, threads: 2, time: 0 [s] 140985881 [ns]
Picture: 300x246, filter: 16, threads: 4, time: 0 [s] 115092638 [ns]
Picture: 300x246, filter: 16, threads: 8, time: 0 [s] 116595131 [ns]
Picture: 300x246, filter: 32, threads: 1, time: 0 [s] 981719521 [ns]
Picture: 300x246, filter: 32, threads: 2, time: 0 [s] 530400771 [ns]
Picture: 300x246, filter: 32, threads: 4, time: 0 [s] 539164534 [ns]
Picture: 300x246, filter: 32, threads: 8, time: 0 [s] 498428709 [ns]
Picture: 300x246, filter: 64, threads: 1, time: 3 [s] 823724406 [ns]
Picture: 300x246, filter: 64, threads: 2, time: 2 [s] 94985872 [ns]
Picture: 300x246, filter: 64, threads: 4, time: 2 [s] 3979277 [ns]
Picture: 300x246, filter: 64, threads: 8, time: 1 [s] 982964340 [ns]
